 0.400  0.100  0.070	 0.400  0.100  0.070	-0.011  1.578  0.007	 0.027  0.004 -0.145	0.03610
 0.400  0.050  0.070	 0.400  0.050  0.070	-0.002  1.568  0.002	 0.012 -0.012 -0.142	0.05104
 0.400  0.000  0.070	 0.400  0.000  0.070	-0.006  1.566 -0.030	-0.011 -0.014 -0.146	0.07365
 0.400 -0.050  0.070	 0.399 -0.049  0.071	 0.001  1.571  0.000	-0.010 -0.024 -0.145	0.07245
 0.400 -0.100  0.070	 0.400 -0.100  0.070	 0.002  1.570 -0.000	-0.005 -0.024 -0.144	0.06779
 0.400 -0.150  0.070	 0.400 -0.150  0.070	-0.000  1.571 -0.000	-0.011 -0.025 -0.146	0.07345
 0.400 -0.200  0.070	 0.399 -0.200  0.070	 0.005  1.559 -0.014	-0.009 -0.025 -0.145	0.07175
 0.400 -0.250  0.070	 0.400 -0.250  0.070	-0.005  1.564 -0.010	 0.000 -0.053 -0.149	0.05189
 0.400 -0.300  0.070	 0.400 -0.299  0.070	-0.004  1.553 -0.028	-0.002 -0.056 -0.149	0.05120
 0.400 -0.350  0.070	 0.399 -0.351  0.069	-0.040  1.548 -0.051	-0.001 -0.061 -0.149	0.04618
 0.400 -0.400  0.070	 0.400 -0.400  0.070	-0.042  1.529 -0.091	 0.000 -0.066 -0.149	0.04138
 0.400 -0.450  0.070	 0.399 -0.449  0.070	-0.067  1.550 -0.113	 0.005 -0.073 -0.149	0.03296
 0.400 -0.500  0.070	 0.400 -0.499  0.070	-0.109  1.508 -0.205	 0.010 -0.078 -0.150	0.02618
 0.450  0.500  0.070	 0.450  0.500  0.070	-0.000  1.570 -0.000	 0.036  0.060 -0.146	0.02531
 0.450  0.450  0.070	 0.450  0.450  0.069	-0.006  1.575  0.001	 0.041  0.043 -0.147	0.02164
 0.450  0.400  0.070	 0.449  0.400  0.071	 0.001  1.570  0.003	 0.031  0.029 -0.145	0.03189
 0.450  0.350  0.070	 0.450  0.350  0.070	-0.004  1.570  0.001	 0.024  0.024 -0.143	0.03914
 0.450  0.300  0.070	 0.450  0.300  0.070	 0.000  1.571 -0.000	 0.025  0.017 -0.145	0.03811
 0.450  0.250  0.070	 0.450  0.250  0.070	 0.016  1.517  0.028	 0.025  0.011 -0.145	0.03775
 0.450  0.200  0.070	 0.449  0.201  0.070	-0.002  1.570  0.009	 0.030  0.012 -0.144	0.03339
 0.450  0.150  0.070	 0.451  0.151  0.071	-0.000  1.570  0.000	 0.025  0.004 -0.144	0.03759
 0.450  0.100  0.070	 0.450  0.100  0.070	-0.000  1.571 -0.000	 0.022  0.004 -0.143	0.04075
 0.450  0.050  0.070	 0.451  0.050  0.069	-0.005  1.570  0.000	 0.036 -0.000 -0.146	0.02738
 0.450  0.000  0.070	 0.449 -0.000  0.070	 0.000  1.569 -0.001	 0.017 -0.011 -0.144	0.04582
 0.450 -0.050  0.070	 0.451 -0.049  0.070	-0.013  1.585 -0.018	 0.011 -0.021 -0.145	0.05231
 0.450 -0.100  0.070	 0.450 -0.100  0.070	-0.000  1.571  0.000	 0.024 -0.034 -0.148	0.03870
 0.450 -0.150  0.070	 0.449 -0.150  0.070	-0.001  1.570 -0.001	 0.003 -0.024 -0.144	0.06041
 0.450 -0.200  0.070	 0.449 -0.200  0.070	 0.006  1.569  0.000	-0.002 -0.042 -0.148	0.06255
 0.450 -0.250  0.070	 0.449 -0.250  0.070	 0.000  1.571  0.000	 0.013 -0.043 -0.144	0.04960
 0.450 -0.300  0.070	 0.451 -0.301  0.070	 0.011  1.588  0.010	 0.008 -0.054 -0.146	0.04692
 0.450 -0.350  0.070	 0.450 -0.350  0.070	-0.003  1.570 -0.009	 0.008 -0.063 -0.148	0.03963
 0.450 -0.400  0.070	 0.450 -0.399  0.070	-0.017  1.557 -0.041	 0.012 -0.069 -0.149	0.03267
 0.450 -0.450  0.070	 0.450 -0.449  0.070	-0.078  1.507 -0.134	 0.012 -0.074 -0.150	0.02820
 0.450 -0.500  0.070	 0.450 -0.500  0.070	-0.147  1.483 -0.229	 0.023 -0.077 -0.151	0.01958
 0.500  0.500  0.070	 0.500  0.499  0.070	 0.000  1.571  0.000	 0.045  0.061 -0.147	0.01834
 0.500  0.450  0.070	 0.500  0.451  0.071	 0.000  1.571 -0.000	 0.044  0.054 -0.147	0.01869
 0.500  0.400  0.070	 0.500  0.401  0.070	 0.013  1.581 -0.014	 0.049  0.036 -0.148	0.01367
 0.500  0.350  0.070	 0.501  0.351  0.070	-0.000  1.571 -0.000	 0.030  0.031 -0.143	0.03297
 0.500  0.300  0.070	 0.496  0.302  0.071	 0.000  1.571 -0.000	 0.031  0.022 -0.143	0.03157
 0.500  0.250  0.070	 0.504  0.248  0.069	-0.000  1.571 -0.000	 0.036  0.003 -0.147	0.02714
 0.500  0.200  0.070	 0.500  0.200  0.070	 0.001  1.570  0.000	 0.023  0.016 -0.142	0.03986
 0.500  0.150  0.070	 0.500  0.150  0.070	 0.012  1.573 -0.004	 0.021 -0.005 -0.144	0.04242
 0.500  0.100  0.070	 0.500  0.100  0.070	-0.004  1.536 -0.018	 0.029 -0.004 -0.145	0.03380
 0.500  0.050  0.070	 0.500  0.050  0.070	-0.000  1.571 -0.001	 0.017  0.031 -0.145	0.04549
 0.500  0.000  0.070	 0.501  0.001  0.070	 0.005  1.608 -0.022	 0.016 -0.025 -0.146	0.04716
 0.500 -0.050  0.070	 0.500 -0.050  0.070	 0.001  1.571 -0.000	 0.020 -0.018 -0.143	0.04264
 0.500 -0.100  0.070	 0.500 -0.100  0.070	-0.000  1.571  0.000	 0.021 -0.026 -0.144	0.04189
 0.500 -0.150  0.070	 0.499 -0.149  0.070	 0.016  1.534 -0.020	 0.022 -0.041 -0.149	0.04096
 0.500 -0.200  0.070	 0.500 -0.201  0.070	-0.003  1.570 -0.001	 0.008 -0.043 -0.147	0.05509
 0.500 -0.250  0.070	 0.500 -0.250  0.070	-0.016  1.539 -0.046	 0.018 -0.053 -0.149	0.04208
 0.500 -0.300  0.070	 0.500 -0.300  0.069	-0.006  1.559 -0.013	 0.012 -0.058 -0.149	0.04118
 0.500 -0.350  0.070	 0.500 -0.349  0.069	-0.010  1.525 -0.039	 0.014 -0.065 -0.150	0.03469
 0.500 -0.400  0.070	 0.499 -0.399  0.070	-0.142  1.523 -0.058	 0.024 -0.068 -0.149	0.02632
 0.500 -0.450  0.070	 0.500 -0.449  0.070	-0.091  1.483 -0.166	 0.026 -0.073 -0.151	0.02148
 0.500 -0.500  0.070	 0.499 -0.498  0.071	-0.189  1.440 -0.302	 0.040 -0.071 -0.152	0.01441
 0.550  0.500  0.070	 0.550  0.500  0.070	 0.004  1.563  0.007	 0.036  0.076 -0.148	0.01269
 0.550  0.450  0.070	 0.550  0.451  0.070	 0.007  1.574 -0.010	 0.039  0.060 -0.145	0.02420
