 0.350 -0.150  0.070	 0.422 -0.163  0.121	-1.522  0.274  0.087	-0.017 -0.032 -0.147	0.07948
 0.350 -0.200  0.070	 0.350 -0.200  0.070	-1.528  0.483  0.109	-0.032 -0.022 -0.153	0.09457
 0.350 -0.250  0.070	 0.350 -0.250  0.070	-1.536  0.485  0.092	-0.029 -0.036 -0.153	0.08331
 0.350 -0.300  0.070	 0.351 -0.300  0.070	-1.521  0.498  0.041	-0.025 -0.048 -0.152	0.07140
 0.350 -0.350  0.070	 0.351 -0.350  0.071	-1.551  0.534  0.007	-0.018 -0.056 -0.151	0.06055
 0.350 -0.400  0.070	 0.350 -0.400  0.070	-1.556  0.570 -0.036	-0.011 -0.065 -0.152	0.04926
 0.350 -0.450  0.070	 0.351 -0.450  0.070	-1.566  0.608 -0.071	-0.004 -0.074 -0.153	0.03787
 0.350 -0.500  0.070	 0.350 -0.500  0.070	-1.567  0.728 -0.112	 0.006 -0.078 -0.153	0.02873
 0.400  0.500  0.070	 0.399  0.499  0.070	-1.570 -0.000  0.001	 0.002  0.082 -0.156	0.02810
 0.400  0.450  0.070	 0.401  0.450  0.070	-1.576 -0.001 -0.001	 0.016  0.065 -0.151	0.03307
 0.400  0.400  0.070	 0.401  0.401  0.070	-1.571  0.000 -0.000	 0.004  0.064 -0.152	0.04109
 0.400  0.350  0.070	 0.399  0.349  0.069	-1.570 -0.000  0.002	 0.009  0.061 -0.154	0.04051
 0.400  0.300  0.070	 0.400  0.301  0.070	-1.570  0.003 -0.001	 0.010  0.063 -0.158	0.03864
 0.400  0.250  0.070	 0.399  0.250  0.070	-1.569  0.001 -0.001	 0.018  0.051 -0.156	0.04332
 0.400  0.200  0.070	 0.399  0.199  0.070	-1.569  0.014  0.006	-0.013  0.026 -0.149	0.07613
 0.400  0.150  0.070	 0.400  0.151  0.070	-1.571  0.000  0.000	 0.007  0.049 -0.158	0.05137
 0.400  0.100  0.070	 0.400  0.100  0.070	-1.579  0.040 -0.024	 0.011  0.044 -0.158	0.05211
 0.400  0.050  0.070	 0.400  0.050  0.070	-1.583  0.118 -0.072	 0.006  0.044 -0.160	0.05618
